category,rank,general_id,display_name,value,ci_low,ci_high
win_rate,1,genghis-khan,Genghis Khan,1.0,,
win_rate,2,subutai,Subutai,1.0,,
win_rate,3,dwight-d-eisenhower,Dwight D. Eisenhower,1.0,,
win_rate,4,alexander-the-great,Alexander the Great,1.0,,
win_rate,5,scipio-africanus,Scipio Africanus,1.0,,
win_rate,6,wellington,Duke of Wellington,0.9473684210526315,,
win_rate,7,hannibal-barca,Hannibal Barca,0.8571428571428571,,
win_rate,8,georgy-zhukov,Georgy Zhukov,0.8333333333333334,,
win_rate,9,douglas-macarthur,Douglas MacArthur,0.8333333333333334,,
win_rate,10,tokugawa-ieyasu,Tokugawa Ieyasu,0.8333333333333334,,
win_rate,11,napoleon-bonaparte,Napoleon Bonaparte,0.7857142857142857,,
win_rate,12,frederick-the-great,Frederick the Great,0.75,,
win_rate,13,julius-caesar,Julius Caesar,0.7272727272727273,,
win_rate,14,erich-von-manstein,Erich von Manstein,0.6,,
win_rate,15,ulysses-s-grant,Ulysses S. Grant,0.6,,
win_rate,16,george-washington,George Washington,0.5,,
win_rate,17,erwin-rommel,Erwin Rommel,0.4444444444444444,,
win_rate,18,robert-e-lee,Robert E. Lee,0.42857142857142855,,
win_rate,19,saladin,Saladin,0.375,,
casualty_efficiency,1,subutai,Subutai,22.64,,
casualty_efficiency,2,genghis-khan,Genghis Khan,21.596385542168676,,
casualty_efficiency,3,scipio-africanus,Scipio Africanus,15.641304347826088,,
casualty_efficiency,4,alexander-the-great,Alexander the Great,7.178192831903079,,
casualty_efficiency,5,julius-caesar,Julius Caesar,6.808247422680412,,
casualty_efficiency,6,erich-von-manstein,Erich von Manstein,4.487051234854427,,
casualty_efficiency,7,george-washington,George Washington,2.86708275543227,,
casualty_efficiency,8,tokugawa-ieyasu,Tokugawa Ieyasu,2.687185929648241,,
casualty_efficiency,9,dwight-d-eisenhower,Dwight D. Eisenhower,2.377704381730922,,
casualty_efficiency,10,hannibal-barca,Hannibal Barca,2.090651558073654,,
casualty_efficiency,11,wellington,Duke of Wellington,1.6633010597371394,,
casualty_efficiency,12,napoleon-bonaparte,Napoleon Bonaparte,1.3537120695533584,,
casualty_efficiency,13,ulysses-s-grant,Ulysses S. Grant,1.3392517126985062,,
casualty_efficiency,14,frederick-the-great,Frederick the Great,1.2649331861270796,,
casualty_efficiency,15,robert-e-lee,Robert E. Lee,1.109763884709388,,
casualty_efficiency,16,erwin-rommel,Erwin Rommel,0.8357131833648115,,
casualty_efficiency,17,saladin,Saladin,0.8289205702647657,,
casualty_efficiency,18,douglas-macarthur,Douglas MacArthur,0.6583262545564026,,
casualty_efficiency,19,georgy-zhukov,Georgy Zhukov,0.22396362795745312,,
opponent_adjusted_rating,1,wellington,Duke of Wellington,1978.0995747035097,,
opponent_adjusted_rating,2,scipio-africanus,Scipio Africanus,1887.3830303796565,,
opponent_adjusted_rating,3,alexander-the-great,Alexander the Great,1878.4992759398422,,
opponent_adjusted_rating,4,dwight-d-eisenhower,Dwight D. Eisenhower,1872.7365650618506,,
opponent_adjusted_rating,5,subutai,Subutai,1782.685467152885,,
opponent_adjusted_rating,6,napoleon-bonaparte,Napoleon Bonaparte,1755.6861003717902,,
opponent_adjusted_rating,7,genghis-khan,Genghis Khan,1735.283814742013,,
opponent_adjusted_rating,8,tokugawa-ieyasu,Tokugawa Ieyasu,1715.1650910278054,,
opponent_adjusted_rating,9,douglas-macarthur,Douglas MacArthur,1703.9469048982874,,
opponent_adjusted_rating,10,hannibal-barca,Hannibal Barca,1701.4918935416465,,
opponent_adjusted_rating,11,georgy-zhukov,Georgy Zhukov,1694.626472828427,,
opponent_adjusted_rating,12,ulysses-s-grant,Ulysses S. Grant,1676.2623440523907,,
opponent_adjusted_rating,13,frederick-the-great,Frederick the Great,1675.5458301746453,,
opponent_adjusted_rating,14,julius-caesar,Julius Caesar,1673.1914677906573,,
opponent_adjusted_rating,15,robert-e-lee,Robert E. Lee,1627.1239410748033,,
opponent_adjusted_rating,16,george-washington,George Washington,1564.9820934603026,,
opponent_adjusted_rating,17,erich-von-manstein,Erich von Manstein,1557.9786989384882,,
opponent_adjusted_rating,18,erwin-rommel,Erwin Rommel,1499.1653943499703,,
opponent_adjusted_rating,19,saladin,Saladin,1429.8257396289432,,
clutch_rating,1,genghis-khan,Genghis Khan,1.0,1.0,1.0
clutch_rating,2,hannibal-barca,Hannibal Barca,1.0,0.8571428571428571,1.0
clutch_rating,3,subutai,Subutai,1.0,1.0,1.0
clutch_rating,4,dwight-d-eisenhower,Dwight D. Eisenhower,1.0,1.0,1.0
clutch_rating,5,alexander-the-great,Alexander the Great,1.0,1.0,1.0
clutch_rating,6,scipio-africanus,Scipio Africanus,1.0,1.0,1.0
clutch_rating,7,georgy-zhukov,Georgy Zhukov,1.0,1.0,1.0
clutch_rating,8,wellington,Duke of Wellington,0.8888888888888888,0.8888888888888888,0.9090909090909091
clutch_rating,9,frederick-the-great,Frederick the Great,0.75,0.7222222222222222,0.7727272727272727
clutch_rating,10,napoleon-bonaparte,Napoleon Bonaparte,0.75,0.7222222222222222,0.8
clutch_rating,11,julius-caesar,Julius Caesar,0.75,0.625,0.7777777777777778
clutch_rating,12,douglas-macarthur,Douglas MacArthur,0.6666666666666666,0.6666666666666666,0.6666666666666666
clutch_rating,13,tokugawa-ieyasu,Tokugawa Ieyasu,0.6666666666666666,0.6666666666666666,0.75
clutch_rating,14,george-washington,George Washington,0.55,0.55,0.55
clutch_rating,15,erwin-rommel,Erwin Rommel,0.5,0.5,0.5
clutch_rating,16,erich-von-manstein,Erich von Manstein,0.5,0.3333333333333333,0.5
clutch_rating,17,robert-e-lee,Robert E. Lee,0.5,0.5,0.5454545454545454
clutch_rating,18,ulysses-s-grant,Ulysses S. Grant,0.5,0.5,0.5
clutch_rating,19,saladin,Saladin,0.0,0.0,0.6666666666666666
squander_index,1,genghis-khan,Genghis Khan,0.0,,
squander_index,2,erich-von-manstein,Erich von Manstein,0.0,,
squander_index,3,subutai,Subutai,0.0,,
squander_index,4,dwight-d-eisenhower,Dwight D. Eisenhower,0.0,,
squander_index,5,saladin,Saladin,0.0,,
squander_index,6,georgy-zhukov,Georgy Zhukov,0.0,,
squander_index,7,george-washington,George Washington,0.0,,
squander_index,8,julius-caesar,Julius Caesar,0.0,,
squander_index,9,ulysses-s-grant,Ulysses S. Grant,0.0,,
squander_index,10,robert-e-lee,Robert E. Lee,0.16666666666666666,,
squander_index,11,scipio-africanus,Scipio Africanus,0.2,,
squander_index,12,douglas-macarthur,Douglas MacArthur,0.2,,
squander_index,13,alexander-the-great,Alexander the Great,0.2222222222222222,,
squander_index,14,napoleon-bonaparte,Napoleon Bonaparte,0.2727272727272727,,
squander_index,15,hannibal-barca,Hannibal Barca,0.3333333333333333,,
squander_index,16,wellington,Duke of Wellington,0.3888888888888889,,
squander_index,17,tokugawa-ieyasu,Tokugawa Ieyasu,0.4,,
squander_index,18,frederick-the-great,Frederick the Great,0.4444444444444444,,
squander_index,19,erwin-rommel,Erwin Rommel,0.5,,
