rank,general_id,display_name,era,composite_score,oar_rating,decisive_win_rate,longevity_adjusted_value,war_residual,war_residual_ci_low,war_residual_ci_high
1,dwight-d-eisenhower,Dwight D. Eisenhower,WWII,1.286824033572151,1872.7365650618506,1.0,1.5,0.1717266878012985,0.16993904767147544,0.17337145512981128
2,alexander-the-great,Alexander the Great,Ancient,0.8970670444348113,1878.4992759398422,1.0,1.0,0.17480550675516499,0.17035286292841,0.18033230850281268
3,frederick-the-great,Frederick the Great,Early Modern,0.85,1675.5458301746453,1.0,0.475,0.0845164411688913,0.08170992300346923,0.08532555749116383
4,ulysses-s-grant,Ulysses S. Grant,Industrial,0.8499999999999984,1676.2623440523907,1.0,2.1,-0.14282466963083737,-0.1479693997414501,-0.13676033259387402
5,subutai,Subutai,Medieval,0.7736344035546969,1782.685467152885,1.0,0.25,0.22166748783706253,0.18940353088734108,0.2468550901054832
6,wellington,Duke of Wellington,Napoleonic,0.6999999999999992,1978.0995747035097,0.8888888888888888,1.3846153846153846,0.19871579216981983,0.19437894022055224,0.20099289243370924
7,scipio-africanus,Scipio Africanus,Ancient,0.44970884142227807,1887.3830303796565,0.8,0.625,0.21306193148053487,0.2045485009116377,0.2188474298676217
8,douglas-macarthur,Douglas MacArthur,WWII,0.39546961983470463,1703.9469048982874,1.0,1.0,0.12394902523628142,0.11244414906087438,0.13498964107326444
9,genghis-khan,Genghis Khan,Medieval,0.283286537027017,1735.283814742013,0.875,0.34782608695652173,0.07314114426939294,0.0694625710061481,0.07802922835904001
10,tokugawa-ieyasu,Tokugawa Ieyasu,Medieval,0.14459558006051945,1715.1650910278054,1.0,0.10869565217391304,0.03454598097769768,0.029467600584521126,0.04834368158021196
11,georgy-zhukov,Georgy Zhukov,WWII,0.10259510880715697,1694.626472828427,1.0,0.7142857142857143,0.09057136321953001,0.08351579561450892,0.09643739819188096
12,hannibal-barca,Hannibal Barca,Ancient,-0.44232874578261305,1701.4918935416465,1.0,0.35294117647058826,0.07206016404039113,0.0632783479408575,0.08010676880294755
13,erich-von-manstein,Erich von Manstein,WWII,-0.5420156591809605,1557.9786989384882,1.0,1.0,-0.05873507689769063,-0.08068834553701042,-0.02463290516984375
14,napoleon-bonaparte,Napoleon Bonaparte,Napoleonic,-0.7000000000000007,1755.6861003717902,0.9090909090909091,0.575,0.06428358565700279,0.06153903735194365,0.0661564013498078
15,george-washington,George Washington,Early Modern,-0.85,1564.9820934603026,1.0,0.25,-0.11448894880942333,-0.1259272078240824,-0.10390075982870359
16,robert-e-lee,Robert E. Lee,Industrial,-0.8500000000000015,1627.1239410748033,1.0,1.75,-0.18636350857869446,-0.19487030347884354,-0.17789023581838728
17,julius-caesar,Julius Caesar,Ancient,-0.9044471400744774,1673.1914677906573,1.0,0.5714285714285714,-0.10418712444806257,-0.1092007453172867,-0.0953759937134521
18,saladin,Saladin,Medieval,-1.2015165206422336,1429.8257396289432,1.0,0.15,-0.5286421018522451,-0.5336051059602888,-0.5219018403732145
19,erwin-rommel,Erwin Rommel,WWII,-1.2428731030330489,1499.1653943499703,0.75,1.125,-0.13964174768554755,-0.14294939923221717,-0.13575560489681926
